index,reaction_semantic_similarity,reaction_psychological_depth_analysis_before_level,reaction_psychological_depth_analysis_after_level,reaction_psychological_depth_analysis_before_focus,reaction_psychological_depth_analysis_after_focus,reaction_psychological_depth_analysis_change_direction,reaction_reaction_types_analysis_before_types_emocjonalne,reaction_reaction_types_analysis_before_types_kognitywne,reaction_reaction_types_analysis_before_types_behawioralne_manifestacje,reaction_reaction_types_analysis_before_types_zewnętrzne_wyniki,reaction_reaction_types_analysis_after_types_emocjonalne,reaction_reaction_types_analysis_after_types_kognitywne,reaction_reaction_types_analysis_after_types_behawioralne_manifestacje,reaction_reaction_types_analysis_after_types_zewnętrzne_wyniki,reaction_reaction_types_analysis_emotional_granularity_change,reaction_conceptual_coverage_before_categories,reaction_conceptual_coverage_after_categories,reaction_conceptual_coverage_maintained_categories,reaction_conceptual_coverage_new_categories,reaction_conceptual_coverage_lost_categories,reaction_evolution_assessment_type,reaction_evolution_assessment_description,reaction_evolution_assessment_quality_change,reaction_key_insights,reaction_analysis_type
30,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakichkolwiek reakcji w obu odpowiedziach wskazuje na brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny.,0.0,"Brak danych do analizy, co uniemożliwia ocenę rozwoju rozumienia przez annotatora.",reaction
31,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian, ponieważ nie ma żadnych opisów w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,"Nie zaobserwowano żadnych zmian w rozumieniu reakcji na wpływ społeczny, ponieważ brak jest jakichkolwiek opisów.",0.0,"Brak danych do analizy, co uniemożliwia ocenę rozwoju rozumienia przez annotatora.",reaction
32,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakichkolwiek reakcji w obu odpowiedziach wskazuje na brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny.,0.0,"Brak danych do analizy, co uniemożliwia ocenę rozwoju rozumienia przez annotatora.",reaction
33,0.8,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmiany w zrozumieniu emocjonalnym, ponieważ obie odpowiedzi są neutralne i nie dostarczają informacji o wewnętrznych stanach psychologicznych.",[],[],[],[],[],brak znaczącej zmiany,Odpowiedzi pozostały na tym samym poziomie ogólności i nie dostarczyły żadnych nowych informacji na temat reakcji psychologicznych.,0.0,"Brak rozwoju w zrozumieniu reakcji psychologicznych. Odpowiedzi są zbyt ogólne, aby wskazać jakiekolwiek wewnętrzne stany emocjonalne lub kognitywne.",reaction
34,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakichkolwiek reakcji w obu odpowiedziach wskazuje na brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny.,0.0,"Brak jakichkolwiek reakcji w odpowiedziach sugeruje, że annotator nie dostarczył informacji na temat reakcji na wpływ społeczny, co uniemożliwia ocenę rozwoju ich zrozumienia.",reaction
35,0.5,średni,głęboki,mieszany,psychologiczny,bardziej psychologiczny,0,2,0,0,4,0,0,0,"Annotator przeszedł od ogólnej refleksji i zauważenia wpływu do zróżnicowanej analizy emocji, takich jak zawstydzenie, lęk przed odrzuceniem i niepewność, co wskazuje na głębsze zrozumienie wewnętrznych reakcji emocjonalnych.",refleksja; zauważenie wpływu społecznego,"emocje negatywne (zawstydzenie, lęk, niepewność); emocje związane z FOMO",[],emocje negatywne; FOMO,refleksja; zauważenie wpływu społecznego,pogłębienie psychologiczne,"Annotator znacząco rozwinął swoje zrozumienie emocjonalnych reakcji na wpływ społeczny, przechodząc od ogólnych obserwacji do szczegółowego opisu emocji, co wskazuje na większą wrażliwość na wewnętrzne stany psychiczne.",0.8,"Rozwój w zrozumieniu reakcji emocjonalnych. Kluczowe zmiany: (1) Zmiana z refleksji na konkretne emocje, co pokazuje głębsze zrozumienie psychologicznych reakcji; (2) Wprowadzenie nowych kategorii emocjonalnych, takich jak FOMO, lęk i niepewność, co wskazuje na bardziej złożone postrzeganie wpływu społecznego.",reaction
36,0.3,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,1,0,0,1,1,1,"Annotator dodał element rozważania, co wskazuje na pewien poziom kognitywnego przetwarzania, ale nadal brakuje głębszej analizy emocjonalnej.",zbudowanie potrzeby,rozważanie; zakup produktu,zbudowanie potrzeby,rozważanie; zakup produktu,[],brak znaczącej zmiany,"Annotator dodał nowe kategorie, ale nie pogłębił analizy psychologicznej. Wciąż koncentruje się na zewnętrznych wynikach i behawioralnych manifestacjach.",0.0,"Brak znaczącej ewolucji w zrozumieniu psychologicznych reakcji. Annotator dodał element rozważania, ale nadal skupia się na zewnętrznych wynikach, co ogranicza głębokość analizy.",reaction
37,0.3,powierzchowny,średni,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,0,1,2,1,0,2,0,0,"Annotator przeszedł od opisu konkretnych działań do bardziej złożonego rozważania wewnętrznych wahań i refleksji, co wskazuje na rozwój w rozumieniu psychologicznych reakcji na wpływ społeczny.","konkretne zachowania (wyrobienie karty, zakup); procesy kognitywne (racjonalizacja)","procesy kognitywne (wahania, zastanawianie się)",[],"procesy kognitywne (wahania, zastanawianie się)","konkretne zachowania (wyrobienie karty, zakup); racjonalizacja",pogłębienie psychologiczne,"Annotator przeszedł od opisu zewnętrznych działań do analizy wewnętrznych procesów myślowych, co wskazuje na lepsze zrozumienie psychologicznych reakcji na wpływ społeczny.",0.7,"Rozwój w zrozumieniu psychologicznych reakcji. Kluczowe zmiany: (1) Zmiana z opisu zewnętrznych działań na refleksję nad wewnętrznymi procesami myślowymi; (2) Wzrost złożoności analizy reakcji, z naciskiem na wahania i zastanawianie się, co pokazuje głębsze zrozumienie wpływu społecznego.",reaction
38,0.6,średni,średni,mieszany,mieszany,bez zmian,1,2,0,1,1,2,0,1,"Annotator zachował podobny poziom zrozumienia emocji, ale dodał element ciekawości, co wskazuje na nieco szersze spojrzenie na wewnętrzne motywacje.",świadomość wpływu społecznego; wątpliwości; decyzje oparte na emocjach,ciekawość; wątpliwości; decyzje oparte na emocjach,wątpliwości; decyzje oparte na emocjach,ciekawość,świadomość wpływu społecznego,większa granulacja emocjonalna,"Annotator dodał nowy wymiar do analizy reakcji, wprowadzając element ciekawości, co pokazuje rozwój w rozumieniu wewnętrznych motywacji, ale nie zmienił znacząco głębokości analizy.",0.3,"Annotator wykazał się większą zdolnością do identyfikacji wewnętrznych motywacji, takich jak ciekawość, co wzbogaca jego analizę reakcji na wpływ społeczny. Jednakże, nie doszło do znaczącej zmiany w głębokości analizy psychologicznej, co sugeruje, że nadal istnieje przestrzeń do dalszego rozwoju w rozumieniu złożoności reakcji emocjonalnych.",reaction
39,0.3,średni,głęboki,mieszany,psychologiczny,bardziej psychologiczny,0,2,0,1,2,0,1,0,"Annotator przeszedł od opisu wątpliwości i niepewności do identyfikacji konkretnych emocji, takich jak zażenowanie i frustracja, co wskazuje na głębsze zrozumienie emocjonalnych reakcji na wpływ społeczny.",wątpliwości (kognitywne); niepewność (zewnętrzny wynik),"emocje negatywne (zażenowanie, frustracja); behawioralne manifestacje (sprzeciw)",[],emocje negatywne; behawioralne manifestacje,wątpliwości; niepewność,pogłębienie psychologiczne,"Annotator przeszedł od opisu wątpliwości i niepewności do bardziej złożonego zrozumienia emocji, identyfikując konkretne stany emocjonalne, takie jak zażenowanie i frustracja, oraz wyrażanie sprzeciwu.",0.7,"Rozwój w zrozumieniu reakcji psychologicznych. Kluczowe zmiany: (1) Zmiana z opisu kognitywnego na emocjonalny - annotator zaczął identyfikować konkretne emocje, co wskazuje na głębsze zrozumienie reakcji na wpływ społeczny; (2) Wprowadzenie behawioralnych manifestacji, co pokazuje, że annotator dostrzega nie tylko wewnętrzne stany, ale także ich zewnętrzne wyrażenia.",reaction
40,0.0,średni,powierzchowny,psychologiczny,behawioralny/zewnętrzny,bardziej behawioralny,1,0,1,0,0,0,0,0,"Brak reakcji emocjonalnych w odpowiedzi po, co wskazuje na spłycenie analizy.",emocje negatywne (zażenowanie); behawioralne manifestacje (ironia),[],[],[],emocje negatywne; behawioralne manifestacje,spłycenie (fokus na zachowania),"Annotator nie dostarczył żadnych reakcji w odpowiedzi po, co wskazuje na spłycenie analizy i brak zrozumienia psychologicznych reakcji.",-1.0,"Brak odpowiedzi w sekcji 'After' sugeruje, że annotator nie był w stanie zidentyfikować żadnych reakcji psychologicznych, co może wskazywać na regresję w zrozumieniu wpływu społecznego.",reaction
41,0.3,średni,głęboki,psychologiczny,psychologiczny,bez zmian,2,0,0,0,2,1,0,1,"Annotator dodał nową warstwę analizy, wskazując na lęk przed wyśmianiem jako specyficzny stan emocjonalny, co pokazuje głębsze zrozumienie reakcji psychologicznych.","emocje negatywne (zażenowanie, poddenerwowanie)",emocje negatywne (lęk przed wyśmianiem); procesy kognitywne (uzasadnienie odmowy); zewnętrzne wyniki (odmowa),emocje negatywne,procesy kognitywne (uzasadnienie odmowy); zewnętrzne wyniki (odmowa),[],pogłębienie psychologiczne,"Annotator rozszerzył swoje zrozumienie reakcji psychologicznych, dodając lęk przed wyśmianiem jako specyficzny stan emocjonalny oraz uzasadnienie odmowy jako proces kognitywny.",0.7,"Rozwój w zrozumieniu reakcji psychologicznych. Kluczowe zmiany: (1) Wprowadzenie lęku przed wyśmianiem jako istotnego stanu emocjonalnego, co pokazuje większą wrażliwość na subtelności emocji; (2) Dodanie uzasadnienia odmowy jako procesu kognitywnego, co wskazuje na rozwój w analizie myślenia i motywacji; (3) Utrzymanie fokus na emocjach negatywnych, co sugeruje, że annotator nadal dostrzega ich znaczenie w kontekście wpływu społecznego.",reaction
42,0.3,średni,średni,mieszany,psychologiczny,bardziej psychologiczny,1,2,3,0,1,2,0,0,"Annotator przeszedł od bardziej zróżnicowanych reakcji behawioralnych do bardziej zwięzłych, ale psychologicznie złożonych reakcji, takich jak niedowierzanie i uzasadnienie odmowy.","reakcje behawioralne (wyśmianie, brak zgody, podważenie); emocje (lęk przed upokorzeniem); kognitywne (wskazanie negatywnych konsekwencji)","emocje (niedowierzanie, dezaprobata); kognitywne (uzasadnienie odmowy)",emocje; kognitywne,niedowierzanie; szczera dezaprobata,"reakcje behawioralne; konkretne zachowania (wyśmianie, brak zgody, podważenie)",spłycenie (fokus na zachowania),"Annotator przeszedł od zróżnicowanych reakcji behawioralnych do bardziej ogólnych emocji i kognicji, co może sugerować spłycenie analizy reakcji.",-0.3,"Annotator wykazał pewne zrozumienie psychologicznych reakcji, ale skupił się bardziej na emocjach i kognicjach, rezygnując z analizy zachowań. Zmiana ta może wskazywać na potrzebę dalszego rozwijania umiejętności w identyfikacji złożonych reakcji behawioralnych.",reaction
43,0.3,średni,powierzchowny,psychologiczny,behawioralny/zewnętrzny,bardziej behawioralny,2,0,0,0,0,1,1,1,"Annotator przeszedł od identyfikacji emocji (strach, zażenowanie) do bardziej konkretnego opisu sytuacji, ale zredukował głębokość emocjonalną, koncentrując się na zewnętrznych zachowaniach i wynikach.","emocje negatywne (strach, zażenowanie)","kognicja (stwierdzenie), zachowanie (odmowa), zewnętrzny wynik (wyśmianie)",[],kognicja; zachowanie; zewnętrzny wynik,emocje negatywne,spłycenie (fokus na zachowania),"Annotator przeszedł od opisu emocji do bardziej behawioralnego podejścia, co skutkowało utratą głębszych emocjonalnych reakcji.",-0.6,"Annotator wykazał spłycenie analizy reakcji, koncentrując się na zewnętrznych zachowaniach i wynikach, co prowadzi do utraty zrozumienia wewnętrznych stanów emocjonalnych. Zmiana ta może wskazywać na potrzebę dalszego rozwoju w zakresie identyfikacji i analizy emocji.",reaction
44,0.3,średni,średni,mieszany,psychologiczny,bardziej psychologiczny,1,1,0,1,1,1,0,0,"Annotator przeszedł od przewidywania wstydu do identyfikacji poczucia ulgi, co wskazuje na rozwój w rozumieniu emocji związanych z wpływem społecznym.",emocje negatywne (wstyd); procesy kognitywne (przewidywanie); konkretne zachowania (odmowa),emocje pozytywne (ulga); procesy kognitywne (przyznanie racji),emocje; procesy kognitywne,emocje pozytywne (ulga),konkretne zachowania (odmowa),pogłębienie psychologiczne,"Annotator przeszedł od przewidywania negatywnej reakcji (wstyd) do bardziej złożonego zrozumienia, które obejmuje przyznanie racji i poczucie ulgi, co wskazuje na rozwój w rozumieniu emocji i procesów myślowych.",0.7,"Rozwój w zrozumieniu reakcji psychologicznych. Kluczowe zmiany: (1) Zmiana z przewidywania negatywnego wstydu na pozytywne poczucie ulgi; (2) Zrozumienie, że przyznanie racji osobom wywierającym wpływ może prowadzić do pozytywnych emocji, co wskazuje na bardziej złożone myślenie o wpływie społecznym.",reaction
46,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,1,1,0,0,0,0,0,"Brak jakiejkolwiek zmiany w zrozumieniu reakcji emocjonalnych, ponieważ odpowiedź po prostu nie istnieje.",uznanie wpływu; docenienie rady,[],[],[],uznanie wpływu; docenienie rady,brak znaczącej zmiany,Brak odpowiedzi w sekcji 'After' wskazuje na stagnację w rozumieniu reakcji na wpływ społeczny.,-1.0,"Brak odpowiedzi w sekcji 'After' sugeruje, że annotator nie był w stanie zidentyfikować żadnych reakcji psychologicznych po okresie nauki, co może wskazywać na stagnację w rozwoju umiejętności analizy reakcji na wpływ społeczny.",reaction
45,0.5,średni,głęboki,mieszany,psychologiczny,bardziej psychologiczny,0,2,0,1,2,2,1,0,"Annotator przeszedł od opisu zmian w przekonaniach do bardziej złożonego zrozumienia emocji związanych z akceptacją grupy i wewnętrznego uspokojenia, co wskazuje na rozwój w rozumieniu emocjonalnych reakcji.",zmiana przekonania; wyrobienie zdania; pozbycie się zmartwienia,akceptacja grupy; uspokojenie emocjonalne; rezygnacja z analizy,zmiana przekonania; wyrobienie zdania,akceptacja grupy; uspokojenie emocjonalne; rezygnacja z analizy,pozbycie się zmartwienia,pogłębienie psychologiczne,"Annotator rozwinął swoje zrozumienie reakcji psychologicznych, dodając emocjonalne aspekty akceptacji i uspokojenia, co pokazuje większą wrażliwość na wewnętrzne stany emocjonalne.",0.75,"Rozwój w zrozumieniu reakcji psychologicznych. Kluczowe zmiany: (1) Zwiększenie uwagi na emocje związane z akceptacją grupy i wewnętrznym uspokojeniem; (2) Zmiana z opisu zewnętrznych wyników na bardziej złożoną analizę wewnętrznych procesów emocjonalnych; (3) Utrzymanie kognitywnych aspektów, ale z dodaniem emocjonalnych reakcji, co wskazuje na rozwój w analizie wpływu społecznego.",reaction
47,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakichkolwiek reakcji w obu odpowiedziach wskazuje na brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny.,0.0,"Brak danych do analizy, co uniemożliwia ocenę rozwoju rozumienia przez annotatora.",reaction
48,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,1,0,"Brak zmiany w zrozumieniu emocjonalnym, ponieważ odpowiedź po prostu opisuje zgodę jako zachowanie, a nie jako reakcję emocjonalną.",[],zgoda jako zachowanie,[],zgoda jako zachowanie,[],brak znaczącej zmiany,"Odpowiedź po nie wnosi głębszego zrozumienia psychologicznych reakcji na wpływ społeczny. Zgoda z koleżankami jest jedynie opisem zachowania, a nie wewnętrzną reakcją.",0.0,"Brak rozwoju w zrozumieniu psychologicznych reakcji. Odpowiedź po nie wnosi jedynie powierzchowne zachowanie, bez analizy emocji czy myśli związanych z wpływem społecznym.",reaction
50,0.2,średni,powierzchowny,psychologiczny,behawioralny/zewnętrzny,bardziej behawioralny,2,1,1,1,0,0,0,0,"Annotator nie dostarczył żadnych reakcji emocjonalnych ani kognitywnych w odpowiedzi po, co wskazuje na spłycenie analizy.","emocje negatywne (zawód, gniew); procesy kognitywne (rozpoznanie manipulacji); konkretne zachowania (danie serduszka)",[],[],[],emocje negatywne; procesy kognitywne; konkretne zachowania,spłycenie (fokus na zachowania),"Annotator nie dostarczył żadnych reakcji w odpowiedzi po, co wskazuje na brak analizy psychologicznych reakcji.",-0.8,"Brak odpowiedzi w sekcji 'After' sugeruje znaczące spłycenie analizy reakcji psychologicznych. Annotator nie zidentyfikował żadnych emocji ani procesów kognitywnych, co może wskazywać na utratę umiejętności w rozumieniu wewnętrznych reakcji na wpływ społeczny.",reaction
49,0.3,powierzchowny,głęboki,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,0,1,1,0,3,3,0,1,"Annotator przeszedł od prostego przyznania racji do złożonej analizy emocji i myśli związanych z manipulacją, co pokazuje głębsze zrozumienie wewnętrznych reakcji na wpływ społeczny.",behawioralne przyznanie racji,"emocje negatywne (gniew, ambiwalencja); procesy kognitywne (refleksja, obnażenie manipulacji); zmiana w relacji (utrata zaufania)",[],emocje negatywne; procesy kognitywne; zmiana w relacji,behawioralne przyznanie racji,pogłębienie psychologiczne,"Annotator znacząco rozwinął swoje zrozumienie reakcji psychologicznych na wpływ społeczny, przechodząc od prostego opisu zachowania do analizy emocji, myśli i zmian w relacji.",0.9,"Rozwój kompetencji annotatora jest wyraźny. Kluczowe zmiany obejmują: (1) Zmiana z behawioralnego opisu na głębszą analizę emocji i myśli; (2) Identyfikacja negatywnych emocji, takich jak gniew i ambiwalencja, co wskazuje na zrozumienie złożoności reakcji na manipulację; (3) Zrozumienie wpływu manipulacji na relacje interpersonalne, co pokazuje rozwój w analizie psychologicznej.",reaction
